Entry_Time,Exit_Time,Entry_Price,Exit_Price,PnL,Reason,Capital_After
2023-06-30 03:00:00,2023-06-30 13:00:00,30745.05,30283.874249999997,-150.00000000000068,SL,9850.0
2023-07-01 08:00:00,2023-07-03 19:00:00,30441.7,31354.951,295.50000000000006,TP,10145.5
2023-07-03 20:00:00,2023-07-04 19:00:00,31121.18,30654.3623,-152.18249999999986,SL,9993.317500000001
2023-07-04 20:00:00,2023-07-05 12:00:00,30797.13,30335.17305,-149.89976249999992,SL,9843.417737500002
2023-07-06 07:00:00,2023-07-06 13:00:00,30803.19,30341.14215,-147.65126606249973,SL,9695.766471437502
2023-07-06 15:00:00,2023-07-06 23:00:00,30407.01,29950.90485,-145.43649707156237,SL,9550.32997436594
2023-07-07 02:00:00,2023-07-10 20:00:00,30102.98,31006.0694,286.5098992309785,TP,9836.839873596919
2023-07-11 12:00:00,2023-07-13 18:00:00,30433.05,31346.0415,295.1051962079076,TP,10131.945069804826
2023-07-13 19:00:00,2023-07-13 21:00:00,31606.01,31131.91985,-151.9791760470724,SL,9979.965893757753
2023-07-13 21:00:00,2023-07-14 17:00:00,31254.01,30785.199849999997,-149.69948840636667,SL,9830.266405351387
2023-07-16 06:00:00,2023-07-17 18:00:00,30258.77,29804.88845,-147.45399608027142,SL,9682.812409271115
2023-07-17 19:00:00,2023-07-24 09:00:00,29884.39,29436.12415,-145.24218613906663,SL,9537.570223132048
2023-07-24 11:00:00,2023-08-01 02:00:00,29269.99,28830.940150000002,-143.06355334698054,SL,9394.506669785067
2023-08-01 02:00:00,2023-08-02 00:00:00,28933.22,29801.216600000003,281.8352000935527,TP,9676.341869878619
2023-08-02 18:00:00,2023-08-07 16:00:00,29148.1,28710.8785,-145.1451280481792,SL,9531.19674183044
2023-08-07 22:00:00,2023-08-08 21:00:00,29181.18,30056.615400000002,285.93590225491386,TP,9817.132644085354
2023-08-08 21:00:00,2023-08-09 19:00:00,29854.98,29407.1553,-147.25698966128067,SL,9669.875654424073
