iter	Logloss
0	0.6930065446
1	0.692828208
2	0.6926453778
3	0.6924683987
4	0.6923178098
5	0.6921825947
6	0.6920551756
7	0.6919209733
8	0.6917472404
9	0.6915934948
10	0.6914172517
11	0.6913036951
12	0.6912022815
13	0.6910919277
14	0.6909861157
15	0.6908735339
16	0.6907367911
17	0.6906315191
18	0.6905118398
19	0.6904427727
20	0.6903886368
21	0.6902524374
22	0.6901294744
23	0.6899716162
24	0.6898595215
25	0.6897632775
26	0.6896525211
27	0.6895874718
28	0.6894813003
29	0.6893776904
30	0.6892690546
31	0.6891732486
32	0.689085893
33	0.6890408918
34	0.6889485093
35	0.688859276
36	0.6887566203
37	0.6886644863
38	0.688558119
39	0.6884787974
40	0.6883697648
41	0.6882478011
42	0.688153255
43	0.6880830786
44	0.6880267738
45	0.6879355406
46	0.6878275199
47	0.6877476175
48	0.6876499271
49	0.687579671
50	0.687478567
51	0.6873617748
52	0.6873149098
53	0.6872348338
54	0.6871644679
55	0.6871175919
56	0.6870423894
57	0.6869756276
58	0.6868693741
59	0.6867927493
60	0.6867242243
61	0.6866845821
62	0.6866245924
63	0.6865588377
64	0.6864913501
65	0.6864225129
66	0.6863426164
67	0.6862756089
68	0.6861970091
69	0.6861286806
70	0.6860461847
71	0.6859746705
72	0.6859442695
73	0.6858854104
74	0.6858266612
75	0.6857419462
76	0.6856690424
77	0.6856098439
78	0.6855513157
79	0.6855037353
80	0.6854263998
81	0.6853762471
82	0.6852887751
83	0.6852241943
84	0.6851267529
85	0.6850802326
86	0.6849900229
87	0.6849283599
88	0.6848663849
89	0.6848170818
90	0.6847363605
91	0.6846772728
92	0.6846251274
93	0.6845374787
94	0.6844880941
95	0.6844258715
96	0.6843678036
97	0.6843101605
98	0.6842305522
99	0.6841756251
100	0.6841098051
101	0.6840416311
102	0.6839754975
103	0.6839282787
104	0.6838770938
105	0.683819992
106	0.683747423
107	0.6836879347
108	0.6836153801
109	0.683566146
110	0.6835148553
111	0.6834612028
112	0.6834001856
113	0.683343583
114	0.6833076081
115	0.6832462093
116	0.6831709843
117	0.6831099946
118	0.6830708803
119	0.6830228009
120	0.6829641809
121	0.6829194501
122	0.6828593844
123	0.68281599
124	0.682784351
125	0.6827385358
126	0.682687615
127	0.6826398447
128	0.6825793684
129	0.6825342414
130	0.6824887579
131	0.682428098
132	0.6823675759
133	0.6823145837
134	0.6822438906
135	0.6822013896
136	0.6821562066
137	0.6821151237
138	0.6820456507
139	0.6820064008
140	0.681959195
141	0.6819186923
142	0.6818726982
143	0.6818244961
144	0.6817599533
145	0.6817094595
146	0.6816375633
147	0.6816022488
148	0.6815746659
149	0.6815264346
150	0.6814734515
151	0.6814229681
152	0.6813878307
153	0.6813386307
154	0.6812741018
155	0.6812185184
156	0.6811759672
157	0.6811241312
158	0.6810752154
159	0.6810336026
160	0.6809940904
161	0.6809472011
162	0.6809098339
163	0.680873462
164	0.6807851819
165	0.6807495666
166	0.6807010331
167	0.6806495677
168	0.6806066359
169	0.6805598639
170	0.6805101197
171	0.6804385106
172	0.6803948987
173	0.6803519014
174	0.6803163944
175	0.6802538826
176	0.6802032437
177	0.6801777459
178	0.6801619461
179	0.6801041432
180	0.6800756728
181	0.6800299412
182	0.6800001582
183	0.6799612417
184	0.6799063178
185	0.6798646257
